Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
aC2,100µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,121.38,-97.82,90.0,top
C1,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.5,-92.71,90.0,top
C2,47F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.4,-92.73,90.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.25,-110.86,90.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,159.35,-89.7,180.0,top
D1,Flyback diode,D_SMA_Handsoldering,164.79,-95.79,90.0,top
Q1,IRLML6344,SOT-23,159.4,-99.6,270.0,top
Q2,IRF7410,SOIC-8_3.9x4.9mm_P1.27mm,164.06,-104.81,0.0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.22,-105.45,90.0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.23,-100.17,90.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.26,-106.165,90.0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.26,-101.465,-90.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.26,-110.865,-90.0,top
R6,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,169.2,-89.7,180.0,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.85,-106.25,90.0,top
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.25,-92.0,90.0,top
R9,300R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.25,-96.7,90.0,top
SW1,SW_RST,SW_SPST_CK_RS282G05A3,125.8,-102.5,180.0,top
U1,TS1117-3.3,SOT-223-3_TabPin2,126.98,-92.65,270.0,top
U2,ESP-12E,ESP-12E,144.245,-99.61,270.0,top
U4,74LVC1G125,SOT-23-5,159.5,-94.0,270.0,top
